,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats
1487,Mercedes-Benz B Class B180 CDI,7.65 Lakh,"57,000 kms",Diesel,Automatic,3rd Owner,2013,1498 cc,5 Seats
1488,Mercedes-Benz S-Class S 350 CDI,51 Lakh,"40,000 kms",Diesel,Automatic,1st Owner,2015,1196 cc,5 Seats
1489,Ford Ecosport 1.5 Diesel Titanium,9.50 Lakh,"46,000 kms",Diesel,Manual,1st Owner,2020,624 cc,4 Seats
1490,Maruti Eeco CNG 5 Seater AC BSIV,5 Lakh,"18,000 kms",Cng,Manual,1st Owner,2019,2487 cc,5 Seats
1491,Tata Nano Twist XT,"85,671 ","59,290 kms",Petrol,Manual,4th Owner,2015,1196 cc,5 Seats
1492,Toyota Camry Hybrid 2.5,40.90 Lakh,"20,000 kms",Petrol,Automatic,1st Owner,2019,1198 cc,5 Seats
1493,Maruti Eeco 5 Seater AC BSIV,2.10 Lakh,"18,000 kms",Petrol,Manual,1st Owner,2012,1198 cc,5 Seats
1494,Nissan Micra Active XV,3.55 Lakh,"56,000 kms",Petrol,Manual,1st Owner,2018,1995 cc,5 Seats
1495,Volkswagen Ameo 1.2 MPI Highline,4.55 Lakh,"66,000 kms",Petrol,Manual,2nd Owner,2016,1461 cc,5 Seats
1496,BMW 5 Series 520d Luxury Line,46 Lakh,"43,000 kms",Diesel,Automatic,1st Owner,2019,2993 cc,5 Seats
1497,Nissan Terrano XL 85 PS,4.25 Lakh,"67,000 kms",Diesel,Manual,1st Owner,2014,1493 cc,7 Seats
1498,BMW X6 xDrive 40d M Sport,37.90 Lakh,"75,000 kms",Diesel,Automatic,2nd Owner,2015,998 cc,5 Seats
1499,Mahindra TUV 300 mHAWK100 T8,6.45 Lakh,"47,000 kms",Diesel,Manual,1st Owner,2017,1968 cc,5 Seats
1500,Hyundai Venue SX Sport iMT,10.75 Lakh,"8,800 kms",Petrol,Manual,1st Owner,2021,1197 cc,5 Seats
1501,Audi Q5 2.0 TDI Premium Plus,16 Lakh,"94,002 kms",Diesel,Automatic,2nd Owner,2014,1797 cc,5 Seats
1502,Maruti Ignis Sigma,5.25 Lakh,"12,000 kms",Petrol,Manual,1st Owner,2021,1956 cc,5 Seats
1503,Hyundai Elantra SX AT,7.65 Lakh,"75,000 kms",Petrol,Automatic,1st Owner,2015,2143 cc,5 Seats
1504,Jeep Compass 2.0 Sport Plus BSIV,15.75 Lakh,"62,000 kms",Diesel,Manual,1st Owner,2019,2993 cc,5 Seats
1505,Mercedes-Benz C-Class C 220 CDI Avantgarde,11.90 Lakh,"90,004 kms",Diesel,Automatic,3rd Owner,2014,1997 cc,7 Seats
1506,BMW X5 xDrive 30d M Sport,29 Lakh,"83,005 kms",Diesel,Automatic,2nd Owner,2014,2143 cc,5 Seats
1507,Mahindra XUV500 W10 1.99 mHawk,10.95 Lakh,"47,000 kms",Diesel,Manual,1st Owner,2018,2494 cc,7 Seats
1508,Mercedes-Benz GLE 250d,44 Lakh,"49,000 kms",Diesel,Automatic,1st Owner,2017,1498 cc,5 Seats
1509,Toyota Innova 2.5 ZX Diesel 7 Seater BSIII,12 Lakh,"70,000 kms",Diesel,Manual,1st Owner,2015,1498 cc,5 Seats
1510,Ford Ecosport 1.5 Diesel Titanium,4.75 Lakh,"62,500 kms",Diesel,Manual,1st Owner,2015,1950 cc,5 Seats
1511,Ford Ecosport 1.5 Diesel Titanium,7.25 Lakh,"49,036 kms",Diesel,Manual,1st Owner,2017,1595 cc,5 Seats
1512,Mercedes-Benz E-Class Expression E 220 d BSIV,58 Lakh,"17,000 kms",Diesel,Automatic,1st Owner,2020,1197 cc,5 Seats
1513,Mercedes-Benz B Class B180 Sports,12.90 Lakh,"67,000 kms",Petrol,Automatic,2nd Owner,2013,1950 cc,5 Seats
1514,Maruti Swift ZXI BSIV,4.41 Lakh,"39,889 kms",Petrol,Manual,2nd Owner,2017,2967 cc,4 Seats
1515,Mercedes-Benz E-Class Exclusive E 220d,76.25 Lakh,"2,000 kms",Diesel,Automatic,1st Owner,2022,1498 cc,5 Seats
1516,Audi A8 L 50 TDI Quattro Premium Plus,42 Lakh,"81,250 kms",Diesel,Automatic,1st Owner,2015,1995 cc,5 Seats
1517,Ford Ecosport 1.5 Diesel Titanium Plus,5.25 Lakh,"43,000 kms",Diesel,Manual,1st Owner,2016,1196 cc,5 Seats
1518,BMW X3 xDrive 20d Luxury Line,60 Lakh,"19,000 kms",Diesel,Automatic,1st Owner,2021,1498 cc,5 Seats
1519,Ford Figo 1.2P Titanium Plus MT,3.95 Lakh,"29,000 kms",Petrol,Manual,2nd Owner,2016,2993 cc,4 Seats
1520,MG Astor Sharp CVT,17.25 Lakh,"2,400 kms",Petrol,Automatic,1st Owner,2022,1796 cc,5 Seats
1521,Jaguar XJ 3.0L LWB Ultimate,22.90 Lakh,"79,004 kms",Diesel,Automatic,2nd Owner,2012,1798 cc,5 Seats
1522,Mercedes-Benz C-Class C 200 CGI Grand Edition,36.50 Lakh,"28,000 kms",Petrol,Automatic,1st Owner,2018,2143 cc,5 Seats
1523,Toyota Corolla Altis VL AT,8.75 Lakh,"99,300 kms",Petrol,Automatic,2nd Owner,2015,4367 cc,5 Seats
1524,Mercedes-Benz M-Class ML 250 CDI,21.90 Lakh,"80,000 kms",Diesel,Automatic,2nd Owner,2014,2993 cc,4 Seats
1525,Land Rover Range Rover Vogue SE 4.4 SDV8,35.25 Lakh,"87,002 kms",Diesel,Automatic,2nd Owner,2013,1968 cc,5 Seats
1526,BMW 7 Series 730Ld DPE Signature,1.30 Crore,"19,000 kms",Diesel,Automatic,1st Owner,2021,1968 cc,5 Seats
1527,Audi Q5 2.0 TDI Premium Plus,14.25 Lakh,"94,002 kms",Diesel,Automatic,2nd Owner,2013,4367 cc,5 Seats
1528,Audi A6 2.0 TDI Premium Plus,14.25 Lakh,"82,005 kms",Diesel,Automatic,2nd Owner,2013,1796 cc,5 Seats
1529,Land Rover Range Rover Vogue SE 4.4 SDV8,39.75 Lakh,"95,004 kms",Diesel,Automatic,1st Owner,2013,1998 cc,5 Seats
1530,Mercedes-Benz C-Class C 200 CGI Grand Edition,36.50 Lakh,"25,000 kms",Petrol,Automatic,1st Owner,2018,1498 cc,5 Seats
1531,BMW X1 sDrive20i xLine,28.10 Lakh,"68,753 kms",Petrol,Automatic,2nd Owner,2019,1582 cc,5 Seats
1532,Ford Ecosport 1.5 DV5 MT Titanium,4.75 Lakh,"62,500 kms",Diesel,Manual,1st Owner,2015,1950 cc,5 Seats
1533,Hyundai Creta 1.6 CRDi AT S Plus,8.95 Lakh,"85,000 kms",Diesel,Automatic,1st Owner,2017,1498 cc,5 Seats
1534,Mercedes-Benz C-Class Progressive C 200,49.90 Lakh,"12,000 kms",Petrol,Automatic,1st Owner,2021,1248 cc,5 Seats
1535,Honda WR-V i-DTEC VX,6.99 Lakh,"58,000 kms",Diesel,Manual,1st Owner,2017,1248 cc,5 Seats
1536,Maruti Baleno 1.3 Zeta,6.20 Lakh,"55,500 kms",Diesel,Manual,1st Owner,2018,1950 cc,5 Seats
1537,Maruti Baleno 1.3 Zeta,6.25 Lakh,"54,000 kms",Diesel,Manual,1st Owner,2018,1956 cc,5 Seats
1538,Mercedes-Benz C-Class Progressive C 200,47.90 Lakh,"12,000 kms",Petrol,Automatic,1st Owner,2021,1956 cc,5 Seats
1539,Tata Harrier XM,12.50 Lakh,"32,500 kms",Diesel,Manual,1st Owner,2019,1086 cc,5 Seats
1540,Tata Harrier XM,12.60 Lakh,"33,500 kms",Diesel,Manual,1st Owner,2019,1997 cc,5 Seats
1541,Hyundai i10 Era 1.1 iTech SE,2.21 Lakh,"60,000 kms",Petrol,Manual,1st Owner,2012,2523 cc,7 Seats
1542,Land Rover Range Rover Velar R-Dynamic S Petrol MY21,85 Lakh,"38,000 kms",Petrol,Automatic,1st Owner,2020,1248 cc,5 Seats
1543,Mahindra Bolero SLX 2WD BSIII,4.50 Lakh,"1,20,000 kms",Diesel,Manual,1st Owner,2015,998 cc,5 Seats
1544,Maruti Vitara Brezza LDi Option,6.35 Lakh,"64,000 kms",Diesel,Manual,1st Owner,2017,1996 cc,7 Seats
1545,Maruti Wagon R CNG LXI BSIV,4 Lakh,"59,000 kms",Cng,Manual,1st Owner,2017,1451 cc,5 Seats
1546,MG Gloster Savvy 7-Str,39.65 Lakh,"11,000 kms",Diesel,Automatic,2nd Owner,2021,999 cc,5 Seats
1547,MG Hector Sharp DCT,18 Lakh,"12,023 kms",Petrol,Automatic,1st Owner,2021,1969 cc,5 Seats
1548,Renault KWID Climber 1.0 AMT BSIV,4.70 Lakh,"30,000 kms",Petrol,Automatic,1st Owner,2019,0 cc,5 Seats
1549,Volvo S90 D4 Inscription BSIV,44.75 Lakh,"20,000 kms",Diesel,Automatic,1st Owner,2018,1950 cc,5 Seats
1550,MG ZS EV Exclusive,21.10 Lakh,"38,000 kms",Electric,Automatic,1st Owner,2020,1998 cc,5 Seats
1551,Mercedes-Benz C-Class Progressive C 200,36.50 Lakh,"16,500 kms",Petrol,Automatic,1st Owner,2018,1950 cc,5 Seats
1552,Mini Cooper D,18.90 Lakh,"29,000 kms",Diesel,Automatic,2nd Owner,2014,1197 cc,5 Seats
1553,Mercedes-Benz C-Class Progressive C 220d,39 Lakh,"24,000 kms",Diesel,Automatic,2nd Owner,2020,1498 cc,5 Seats
1554,Maruti Swift LXI,4.83 Lakh,"37,229 kms",Petrol,Manual,1st Owner,2020,2993 cc,5 Seats
1555,Honda City i DTEC VX,4.90 Lakh,"1,00,000 kms",Diesel,Manual,3rd Owner,2015,2179 cc,7 Seats
1556,BMW X5 xDrive 30d,29.75 Lakh,"85,000 kms",Diesel,Automatic,2nd Owner,2015,1968 cc,5 Seats
1557,Mahindra XUV500 W6 2WD,4.31 Lakh,"90,928 kms",Diesel,Manual,1st Owner,2013,1498 cc,5 Seats
1558,Audi A3 35 TDI Premium Plus,25.80 Lakh,"39,000 kms",Diesel,Automatic,1st Owner,2020,1950 cc,5 Seats
1559,Volkswagen Vento 1.5 TDI Highline AT,5 Lakh,"78,000 kms",Diesel,Automatic,1st Owner,2015,1373 cc,7 Seats
1560,Mercedes-Benz GLC Coupe 300d 4MATIC,71.50 Lakh,"24,900 kms",Diesel,Automatic,1st Owner,2021,1399 cc,5 Seats
1561,Maruti Ertiga VXI CNG,7.25 Lakh,"44,000 kms",Cng,Manual,1st Owner,2016,1497 cc,5 Seats
1562,Ford Figo Diesel Titanium,1.93 Lakh,"86,483 kms",Diesel,Manual,3rd Owner,2014,1997 cc,5 Seats
1563,Honda City Edge Edition SV,9 Lakh,"20,000 kms",Petrol,Manual,1st Owner,2019,1598 cc,5 Seats
1564,Jaguar XF 2.0 Petrol Prestige,47 Lakh,"7,500 kms",Petrol,Automatic,1st Owner,2020,2755 cc,7 Seats
1565,Renault Duster Petrol RxL,5.75 Lakh,"49,000 kms",Petrol,Manual,2nd Owner,2017,1462 cc,7 Seats
1566,Toyota Innova Crysta 2.8 GX AT BSIV,18.75 Lakh,"26,000 kms",Diesel,Automatic,1st Owner,2018,4461 cc,7 Seats
1567,Maruti Ertiga CNG VXI,6.75 Lakh,"65,000 kms",Cng,Manual,1st Owner,2015,1197 cc,5 Seats
1568,Toyota Land Cruiser VX,1.58 Crore,"56,000 kms",Diesel,Automatic,1st Owner,2018,1248 cc,5 Seats
1569,Toyota Glanza G,6.06 Lakh,"40,252 kms",Petrol,Manual,1st Owner,2020,1582 cc,5 Seats
1570,Maruti Swift VDI BSIV,3.23 Lakh,"97,947 kms",Diesel,Manual,2nd Owner,2014,1197 cc,5 Seats
1571,Hyundai Creta 1.6 CRDi AT SX Plus,7.16 Lakh,"1,50,715 kms",Diesel,Automatic,1st Owner,2015,1968 cc,5 Seats
1572,Hyundai i10 Sportz,1.58 Lakh,"1,02,820 kms",Petrol,Manual,1st Owner,2010,1462 cc,7 Seats
1573,Skoda New Laura Ambiente 2.0 TDI CR AT,2.53 Lakh,"1,09,403 kms",Diesel,Automatic,3rd Owner,2012,1993 cc,5 Seats
1574,Maruti Ertiga VXI AT,8.58 Lakh,"37,377 kms",Petrol,Automatic,1st Owner,2019,1197 cc,5 Seats
1575,Mercedes-Benz C-Class C 220d,62 Lakh,"4,000 kms",Diesel,Automatic,1st Owner,2022,1461 cc,5 Seats
1576,Maruti Swift Dzire VXI,3.67 Lakh,"84,728 kms",Petrol,Manual,2nd Owner,2015,1968 cc,5 Seats
1577,Renault Duster 85PS Diesel RxE,3.24 Lakh,"53,548 kms",Diesel,Manual,2nd Owner,2013,1497 cc,5 Seats
1578,Audi A6 2.0 TDI,16.19 Lakh,"29,397 kms",Diesel,Automatic,1st Owner,2014,1197 cc,5 Seats
1579,Honda City i VTEC CVT VX,7.75 Lakh,"64,000 kms",Petrol,Automatic,1st Owner,2016,1997 cc,7 Seats
1580,Hyundai Grand i10 Asta,4.06 Lakh,"30,346 kms",Petrol,Manual,1st Owner,2016,1248 cc,5 Seats
1581,Mahindra XUV500 W10 1.99 mHawk,10.63 Lakh,"42,119 kms",Diesel,Manual,1st Owner,2017,1396 cc,5 Seats
1582,Maruti Swift Dzire VDI,3.27 Lakh,"1,20,450 kms",Diesel,Manual,2nd Owner,2014,1198 cc,5 Seats
1583,Hyundai Creta 1.4 CRDi S,8.35 Lakh,"70,000 kms",Diesel,Manual,1st Owner,2017,1991 cc,4 Seats
1584,Honda Amaze S i-Vtech,4.40 Lakh,"59,534 kms",Petrol,Manual,2nd Owner,2015,1373 cc,5 Seats
1585,Chevrolet Cruze LTZ AT,6.50 Lakh,"90,000 kms",Diesel,Automatic,2nd Owner,2016,2494 cc,8 Seats
1586,Maruti Ciaz 1.4 Zeta,7.50 Lakh,"63,001 kms",Petrol,Manual,1st Owner,2017,1950 cc,5 Seats
1587,Toyota Innova 2.5 VX (Diesel) 8 Seater,13.50 Lakh,"1,53,000 kms",Diesel,Manual,1st Owner,2014,1197 cc,5 Seats
1588,Mercedes-Benz C-Class Progressive C 220d,16 Lakh,"65,000 kms",Diesel,Automatic,1st Owner,2014,1462 cc,6 Seats
1589,Hyundai Grand i10 Asta Option,4.60 Lakh,"60,000 kms",Petrol,Manual,2nd Owner,2015,1968 cc,5 Seats
1590,Maruti XL6 Zeta,11 Lakh,"17,000 kms",Petrol,Manual,1st Owner,2021,1197 cc,5 Seats
1591,Audi A4 2.0 TDI,13 Lakh,"55,000 kms",Diesel,Automatic,3rd Owner,2013,1997 cc,7 Seats
1592,Hyundai i20 Petrol Asta Option,7.90 Lakh,"24,000 kms",Petrol,Manual,1st Owner,2019,1298 cc,5 Seats
1593,Mahindra XUV500 W10 1.99 mHawk,12 Lakh,"1,02,000 kms",Diesel,Manual,1st Owner,2016,1199 cc,5 Seats
1594,Maruti Swift 1.3 VXi,3.20 Lakh,"40,000 kms",Petrol,Manual,1st Owner,2010,999 cc,7 Seats
1595,Tata Tiago 1.2 Revotron XM,3.05 Lakh,"92,195 kms",Petrol,Manual,1st Owner,2016,1598 cc,5 Seats
1596,Renault Triber RXL EASY-R AMT,6.65 Lakh,"13,780 kms",Petrol,Automatic,1st Owner,2020,1798 cc,5 Seats
1597,Skoda Rapid 1.6 MPI AT Ambition BSIV,9.75 Lakh,"24,700 kms",Petrol,Automatic,1st Owner,2019,1199 cc,5 Seats
1598,Skoda Octavia 1.8 TSI AT Style,19.50 Lakh,"41,000 kms",Petrol,Automatic,1st Owner,2019,1582 cc,5 Seats
1599,Honda Jazz V CVT,6.80 Lakh,"18,000 kms",Petrol,Automatic,2nd Owner,2017,1373 cc,5 Seats
1600,Hyundai Creta 1.6 CRDi AT SX Plus,12.25 Lakh,"7,000 kms",Diesel,Automatic,1st Owner,2016,1248 cc,5 Seats
1601,Maruti Ciaz 1.4 AT Alpha,9.50 Lakh,"39,600 kms",Petrol,Automatic,1st Owner,2018,1197 cc,5 Seats
1602,Maruti Swift VDI BSIV,6.90 Lakh,"39,500 kms",Diesel,Manual,1st Owner,2018,2755 cc,7 Seats
1603,Maruti Swift Dzire AMT ZXI Plus,8.75 Lakh,"11,800 kms",Petrol,Automatic,1st Owner,2020,1969 cc,5 Seats
1604,Toyota Fortuner 2.8 2WD MT BSIV,28.05 Lakh,"77,000 kms",Diesel,Manual,2nd Owner,2017,2982 cc,7 Seats
1605,Volvo S60 D4 KINETIC,16.80 Lakh,"99,000 kms",Diesel,Automatic,1st Owner,2017,1497 cc,5 Seats
1606,Toyota Fortuner 4x2 Manual,16.10 Lakh,"1,77,000 kms",Diesel,Manual,1st Owner,2014,1497 cc,5 Seats
1607,Kia Seltos HTX G,13.90 Lakh,"43,000 kms",Petrol,Manual,1st Owner,2019,1995 cc,5 Seats
1608,Mahindra XUV300 W8 Diesel BSIV,12.60 Lakh,"40,000 kms",Diesel,Manual,1st Owner,2019,1968 cc,5 Seats
1609,BMW X1 sDrive 20d xLine,32.50 Lakh,"65,000 kms",Diesel,Automatic,1st Owner,2019,1248 cc,5 Seats
1610,Audi A3 35 TDI Premium Plus,25.80 Lakh,"39,000 kms",Diesel,Automatic,1st Owner,2020,1497 cc,7 Seats
1611,Maruti Vitara Brezza ZDi,9.80 Lakh,"48,000 kms",Diesel,Manual,1st Owner,2018,1582 cc,5 Seats
1612,Mahindra Marazzo M2 BSIV,10.25 Lakh,"77,000 kms",Diesel,Manual,1st Owner,2019,1493 cc,7 Seats
1613,Hyundai Creta 1.6 CRDi SX Plus,10.25 Lakh,"52,000 kms",Diesel,Manual,1st Owner,2018,1498 cc,7 Seats
1614,Mahindra TUV 300 T10,9.70 Lakh,"27,000 kms",Diesel,Manual,1st Owner,2018,1497 cc,5 Seats
1615,Honda BR-V i-DTEC V MT,9.65 Lakh,"47,000 kms",Diesel,Manual,1st Owner,2018,1498 cc,5 Seats
1616,Tata Nexon 1.5 Revotorq XZ Plus,9.55 Lakh,"42,000 kms",Diesel,Manual,2nd Owner,2019,1591 cc,5 Seats
1617,Honda WR-V i-DTEC VX,9.30 Lakh,"42,000 kms",Diesel,Manual,1st Owner,2018,1598 cc,5 Seats
1618,Hyundai Creta 1.6 VTVT SX Plus,8.95 Lakh,"48,000 kms",Petrol,Manual,1st Owner,2016,1198 cc,5 Seats
1619,Maruti SX4 S Cross DDiS 320 Zeta,8.55 Lakh,"59,000 kms",Diesel,Manual,1st Owner,2017,1493 cc,7 Seats
1620,Tata Nexon 1.2 Revotron XM,8.35 Lakh,"27,000 kms",Petrol,Manual,1st Owner,2019,999 cc,7 Seats
1621,Mahindra TUV 300 T8,8 Lakh,"44,000 kms",Diesel,Manual,1st Owner,2016,1248 cc,7 Seats
1622,Renault Triber RXZ EASY-R AMT,8 Lakh,"5,000 kms",Petrol,Automatic,1st Owner,2021,1498 cc,5 Seats
1623,Maruti Ertiga ZDI,7.40 Lakh,"78,000 kms",Diesel,Manual,1st Owner,2013,1497 cc,7 Seats
1624,Ford Ecosport 1.5 TDCi Titanium Plus BE BSIV,7 Lakh,"57,000 kms",Diesel,Manual,1st Owner,2016,999 cc,5 Seats
1625,Honda Mobilio V Option i-VTEC,6.05 Lakh,"48,000 kms",Petrol,Manual,2nd Owner,2014,1498 cc,5 Seats
1626,Ford Ecosport 1.0 Ecoboost Titanium Optional,5.90 Lakh,"56,000 kms",Petrol,Manual,1st Owner,2014,1461 cc,5 Seats
1627,Volkswagen Vento 1.5 TDI Highline,5.50 Lakh,"15,000 kms",Diesel,Manual,1st Owner,2013,1497 cc,5 Seats
1628,Renault Duster 110PS Diesel RXZ Optional with Nav,5.65 Lakh,"77,000 kms",Diesel,Manual,2nd Owner,2012,2179 cc,5 Seats
1629,Honda City i-VTEC V,8.50 Lakh,"60,000 kms",Petrol,Manual,1st Owner,2018,1198 cc,5 Seats
1630,Land Rover Range Rover Evoque 2.2L Pure,20 Lakh,"65,000 kms",Diesel,Automatic,2nd Owner,2013,1199 cc,5 Seats
1631,Honda Jazz X,3.90 Lakh,"61,985 kms",Petrol,Manual,1st Owner,2012,1197 cc,5 Seats
1632,Honda Amaze V Petrol BSIV,8.20 Lakh,"19,000 kms",Petrol,Manual,1st Owner,2019,1199 cc,5 Seats
1633,Maruti Swift Dzire VXI 1.2,7.50 Lakh,"30,000 kms",Petrol,Manual,1st Owner,2019,1197 cc,5 Seats
1634,Honda Jazz 1.2 S i VTEC,7 Lakh,"41,000 kms",Petrol,Manual,1st Owner,2018,1197 cc,5 Seats
1635,Hyundai Grand i10 Nios Sportz,6.75 Lakh,"6,834 kms",Petrol,Manual,1st Owner,2020,1591 cc,5 Seats
1636,Maruti Swift Dzire VXI,3.70 Lakh,"1,12,160 kms",Petrol,Manual,1st Owner,2013,1462 cc,5 Seats
1637,Hyundai Creta 1.6 SX Automatic,11 Lakh,"16,118 kms",Petrol,Automatic,1st Owner,2018,1461 cc,5 Seats
1638,Maruti Ciaz Alpha,9.90 Lakh,"47,000 kms",Petrol,Manual,1st Owner,2020,1598 cc,5 Seats
1639,Renault Duster 110PS Diesel RxZ,4.20 Lakh,"80,000 kms",Diesel,Manual,2nd Owner,2012,1462 cc,5 Seats
1640,Skoda Rapid 1.6 MPI Active BSIV,8.93 Lakh,"24,000 kms",Petrol,Manual,1st Owner,2020,998 cc,5 Seats
1641,Maruti Ciaz Alpha Automatic BSIV,8.65 Lakh,"46,000 kms",Petrol,Automatic,1st Owner,2018,1197 cc,5 Seats
1642,Maruti Baleno RS 1.0 Petrol,7.85 Lakh,"30,000 kms",Petrol,Manual,1st Owner,2017,1197 cc,5 Seats
1643,Hyundai i20 Active 1.2 SX,7.65 Lakh,"30,000 kms",Petrol,Manual,1st Owner,2017,1396 cc,5 Seats
1644,Maruti Swift Dzire ZXI 1.2,7.55 Lakh,"31,000 kms",Petrol,Manual,1st Owner,2017,1248 cc,5 Seats
1645,Hyundai Elite i20 2018 Diesel Asta Option,7.50 Lakh,"46,000 kms",Diesel,Manual,1st Owner,2018,1199 cc,5 Seats
1646,Maruti Baleno 1.3 Zeta,7.43 Lakh,"44,000 kms",Diesel,Manual,1st Owner,2016,1498 cc,5 Seats
1647,Honda Jazz V,7.30 Lakh,"40,000 kms",Petrol,Manual,1st Owner,2019,1197 cc,5 Seats
1648,Honda City i DTec S,7.05 Lakh,"39,000 kms",Diesel,Manual,1st Owner,2016,1197 cc,5 Seats
1649,Hyundai i20 Asta 1.2,4.50 Lakh,"63,759 kms",Petrol,Manual,1st Owner,2013,1199 cc,5 Seats
1650,Hyundai i20 Active S Petrol,6.99 Lakh,"29,000 kms",Petrol,Manual,2nd Owner,2018,1197 cc,5 Seats
1651,Honda Jazz 1.2 SV i VTEC,6.95 Lakh,"42,000 kms",Petrol,Manual,1st Owner,2017,1197 cc,5 Seats
1652,Hyundai i20 Sportz 1.2,6.75 Lakh,"37,000 kms",Petrol,Manual,1st Owner,2017,1497 cc,5 Seats
1653,Maruti Swift VXI,6.75 Lakh,"40,000 kms",Petrol,Manual,1st Owner,2019,1199 cc,5 Seats
1654,Honda City i VTEC SV,6.45 Lakh,"33,000 kms",Petrol,Manual,1st Owner,2014,998 cc,5 Seats
1655,Honda Jazz 1.2 S i VTEC,6.40 Lakh,"26,000 kms",Petrol,Manual,1st Owner,2018,1373 cc,5 Seats
1656,Hyundai Venue SX Plus Turbo DCT DT,11.95 Lakh,"24,000 kms",Petrol,Automatic,1st Owner,2021,1497 cc,7 Seats
1657,Maruti Ciaz VXi,4.50 Lakh,"1,56,596 kms",Petrol,Manual,1st Owner,2015,1798 cc,5 Seats
1658,Honda BR-V i-VTEC VX MT,5.80 Lakh,"98,778 kms",Petrol,Manual,1st Owner,2017,1197 cc,5 Seats
1659,Skoda Superb Elegance 1.8 TSI AT,8 Lakh,"1,45,000 kms",Petrol,Automatic,2nd Owner,2010,1968 cc,5 Seats
1660,Hyundai i20 1.2 Asta Option,7.90 Lakh,"26,000 kms",Petrol,Manual,1st Owner,2018,1197 cc,5 Seats
1661,Skoda Octavia 2.0 TDI AT Style Plus,17.50 Lakh,"60,000 kms",Diesel,Automatic,2nd Owner,2017,1199 cc,5 Seats
1662,Maruti Baleno 1.2 Zeta,5.60 Lakh,"5,60,000 kms",Petrol,Manual,1st Owner,2017,1199 cc,5 Seats
1663,Honda Jazz 1.2 VX i VTEC,6.35 Lakh,"45,000 kms",Petrol,Manual,1st Owner,2017,1598 cc,5 Seats
1664,Tata Tiago XZA,6.25 Lakh,"27,000 kms",Petrol,Automatic,1st Owner,2019,1798 cc,5 Seats
1665,Skoda Rapid 1.6 MPI AT Ambition BSIV,8.60 Lakh,"43,000 kms",Petrol,Automatic,1st Owner,2018,1968 cc,5 Seats
1666,Toyota Corolla Altis GL MT,9.90 Lakh,"37,000 kms",Petrol,Manual,1st Owner,2015,1197 cc,5 Seats
1667,Audi Q3 2.0 TDI Quattro Premium Plus,19.90 Lakh,"46,000 kms",Diesel,Automatic,1st Owner,2014,1199 cc,5 Seats
1668,Hyundai i10 Sportz AT,2.80 Lakh,"51,366 kms",Petrol,Automatic,1st Owner,2011,1497 cc,5 Seats
1669,Honda Jazz 1.2 V AT i VTEC,6.30 Lakh,"77,331 kms",Petrol,Automatic,1st Owner,2017,1984 cc,5 Seats
1670,Honda City i VTEC V,6.30 Lakh,"77,783 kms",Petrol,Manual,1st Owner,2016,1493 cc,7 Seats
1671,Skoda Superb LK 2.0 TDI AT,22.50 Lakh,"44,000 kms",Diesel,Automatic,1st Owner,2016,1198 cc,5 Seats
1672,Mahindra TUV 300 T10 AMT,6.25 Lakh,"56,276 kms",Diesel,Automatic,2nd Owner,2018,1248 cc,5 Seats
1673,Honda Brio V MT,2.90 Lakh,"44,408 kms",Petrol,Manual,2nd Owner,2012,999 cc,5 Seats
1674,Tata Manza Aqua Quadrajet,1.50 Lakh,"80,000 kms",Diesel,Manual,1st Owner,2010,1368 cc,5 Seats
1675,Volkswagen Ameo 1.0 MPI Highline Plus,6.10 Lakh,"20,000 kms",Petrol,Manual,1st Owner,2019,2198 cc,7 Seats
1676,Jeep Compass 1.4 Limited Opt DCT,23.90 Lakh,"19,000 kms",Petrol,Automatic,1st Owner,2021,1462 cc,5 Seats
1677,Ford Endeavour 2.2 Titanium AT 4X2,27 Lakh,"73,500 kms",Diesel,Automatic,1st Owner,2019,1248 cc,5 Seats
1678,Maruti Ciaz Delta Automatic BSIV,8.10 Lakh,"28,783 kms",Petrol,Automatic,1st Owner,2019,1422 cc,5 Seats
1679,Maruti Vitara Brezza ZDi,9.75 Lakh,"43,000 kms",Diesel,Manual,1st Owner,2018,1197 cc,5 Seats
1680,Skoda Fabia 1.4 TDI Classic,1.50 Lakh,"1,17,500 kms",Diesel,Manual,2nd Owner,2010,1198 cc,5 Seats
1681,Maruti Swift Dzire VXi AT,4.50 Lakh,"46,352 kms",Petrol,Automatic,1st Owner,2012,1197 cc,5 Seats
1682,Volkswagen Ameo 1.2 MPI Comfortline Plus,4.40 Lakh,"84,123 kms",Petrol,Manual,1st Owner,2017,796 cc,5 Seats
1683,Hyundai i20 Asta Option BSIV,7.80 Lakh,"22,773 kms",Petrol,Manual,1st Owner,2019,1199 cc,5 Seats
1684,Maruti Alto 800 LXI,3 Lakh,"20,000 kms",Petrol,Manual,2nd Owner,2017,2143 cc,5 Seats
1685,Chevrolet Beat LT,1.75 Lakh,"77,075 kms",Petrol,Manual,3rd Owner,2011,999 cc,5 Seats
1686,Mercedes-Benz GLC Progressive 220d,43 Lakh,"38,000 kms",Diesel,Automatic,1st Owner,2018,2143 cc,5 Seats
1687,Renault KWID 1.0 RXT,2.10 Lakh,"70,000 kms",Petrol,Manual,1st Owner,2016,1242 cc,5 Seats
